Temperature - (Celsius), Year, Statistics, Country, ISO3
24.4465, 2013, Aug Average, Afghanistan, AFG
21.4541, 2013, Sep Average, Afghanistan, AFG
14.9802, 2013, Oct Average, Afghanistan, AFG
7.73942, 2013, Nov Average, Afghanistan, AFG
2.85806, 2013, Dec Average, Afghanistan, AFG
1.90191, 2014, Jan Average, Afghanistan, AFG
-0.2883, 2014, Feb Average, Afghanistan, AFG
7.97563, 2014, Mar Average, Afghanistan, AFG
13.8125, 2014, Apr Average, Afghanistan, AFG
19.2834, 2014, May Average, Afghanistan, AFG
24.8129, 2014, Jun Average, Afghanistan, AFG
26.3007, 2014, Jul Average, Afghanistan, AFG
25.1178, 2014, Aug Average, Afghanistan, AFG
21.4651, 2014, Sep Average, Afghanistan, AFG
14.3478, 2014, Oct Average, Afghanistan, AFG
6.67635, 2014, Nov Average, Afghanistan, AFG
2.36981, 2014, Dec Average, Afghanistan, AFG
1.95516, 2015, Jan Average, Afghanistan, AFG
3.41743, 2015, Feb Average, Afghanistan, AFG
6.99841, 2015, Mar Average, Afghanistan, AFG
14.7501, 2015, Apr Average, Afghanistan, AFG
19.4289, 2015, May Average, Afghanistan, AFG
25.094, 2015, Jun Average, Afghanistan, AFG
26.3264, 2015, Jul Average, Afghanistan, AFG
24.1008, 2015, Aug Average, Afghanistan, AFG
19.0854, 2015, Sep Average, Afghanistan, AFG
14.842, 2015, Oct Average, Afghanistan, AFG
7.47879, 2015, Nov Average, Afghanistan, AFG
2.92567, 2015, Dec Average, Afghanistan, AFG
3.56651, 2016, Jan Average, Afghanistan, AFG
4.34688, 2016, Feb Average, Afghanistan, AFG
8.86882, 2016, Mar Average, Afghanistan, AFG
14.4279, 2016, Apr Average, Afghanistan, AFG
20.367, 2016, May Average, Afghanistan, AFG
25.003, 2016, Jun Average, Afghanistan, AFG
26.7011, 2016, Jul Average, Afghanistan, AFG
24.504, 2016, Aug Average, Afghanistan, AFG
21.6552, 2016, Sep Average, Afghanistan, AFG
13.936, 2016, Oct Average, Afghanistan, AFG
6.16051, 2016, Nov Average, Afghanistan, AFG
4.62586, 2016, Dec Average, Afghanistan, AFG
11.1664, 1991, Jan Average, Algeria, DZA
14.174, 1991, Feb Average, Algeria, DZA
18.5296, 1991, Mar Average, Algeria, DZA
21.4247, 1991, Apr Average, Algeria, DZA
24.9652, 1991, May Average, Algeria, DZA
31.3115, 1991, Jun Average, Algeria, DZA
32.8771, 1991, Jul Average, Algeria, DZA
32.8113, 1991, Aug Average, Algeria, DZA
29.8762, 1991, Sep Average, Algeria, DZA
23.2806, 1991, Oct Average, Algeria, DZA
17.289, 1991, Nov Average, Algeria, DZA
12.4559, 1991, Dec Average, Algeria, DZA
11.1832, 1992, Jan Average, Algeria, DZA
14.2108, 1992, Feb Average, Algeria, DZA
17.6241, 1992, Mar Average, Algeria, DZA
22.0823, 1992, Apr Average, Algeria, DZA
26.2802, 1992, May Average, Algeria, DZA
30.199, 1992, Jun Average, Algeria, DZA
32.0305, 1992, Jul Average, Algeria, DZA
32.4091, 1992, Aug Average, Algeria, DZA
29.2854, 1992, Sep Average, Algeria, DZA
23.5152, 1992, Oct Average, Algeria, DZA
17.0743, 1992, Nov Average, Algeria, DZA
13.4084, 1992, Dec Average, Algeria, DZA
11.1081, 1993, Jan Average, Algeria, DZA
14.0828, 1993, Feb Average, Algeria, DZA
18.1451, 1993, Mar Average, Algeria, DZA
22.3345, 1993, Apr Average, Algeria, DZA
26.7201, 1993, May Average, Algeria, DZA
31.8372, 1993, Jun Average, Algeria, DZA
32.9739, 1993, Jul Average, Algeria, DZA
32.6232, 1993, Aug Average, Algeria, DZA
28.9556, 1993, Sep Average, Algeria, DZA
24.2347, 1993, Oct Average, Algeria, DZA
17.8684, 1993, Nov Average, Algeria, DZA
13.0249, 1993, Dec Average, Algeria, DZA
12.0745, 1994, Jan Average, Algeria, DZA
14.8165, 1994, Feb Average, Algeria, DZA
19.302, 1994, Mar Average, Algeria, DZA
22.0102, 1994, Apr Average, Algeria, DZA
27.9264, 1994, May Average, Algeria, DZA
31.7786, 1994, Jun Average, Algeria, DZA
33.6073, 1994, Jul Average, Algeria, DZA
33.3842, 1994, Aug Average, Algeria, DZA
28.6614, 1994, Sep Average, Algeria, DZA
23.7645, 1994, Oct Average, Algeria, DZA
18.4605, 1994, Nov Average, Algeria, DZA
13.2334, 1994, Dec Average, Algeria, DZA
11.1928, 1995, Jan Average, Algeria, DZA
15.4927, 1995, Feb Average, Algeria, DZA
18.3813, 1995, Mar Average, Algeria, DZA
22.146, 1995, Apr Average, Algeria, DZA
28.2134, 1995, May Average, Algeria, DZA
31.6549, 1995, Jun Average, Algeria, DZA
33.2127, 1995, Jul Average, Algeria, DZA
32.9244, 1995, Aug Average, Algeria, DZA
29.172, 1995, Sep Average, Algeria, DZA
24.3437, 1995, Oct Average, Algeria, DZA
18.4391, 1995, Nov Average, Algeria, DZA
15.1626, 1995, Dec Average, Algeria, DZA
14.3581, 1996, Jan Average, Algeria, DZA
14.7635, 1996, Feb Average, Algeria, DZA
18.3245, 1996, Mar Average, Algeria, DZA
22.3024, 1996, Apr Average, Algeria, DZA
26.9665, 1996, May Average, Algeria, DZA
31.1014, 1996, Jun Average, Algeria, DZA
32.8561, 1996, Jul Average, Algeria, DZA
32.44, 1996, Aug Average, Algeria, DZA
28.8549, 1996, Sep Average, Algeria, DZA
23.0623, 1996, Oct Average, Algeria, DZA
17.6697, 1996, Nov Average, Algeria, DZA
14.5081, 1996, Dec Average, Algeria, DZA
14.0072, 1997, Jan Average, Algeria, DZA
15.3666, 1997, Feb Average, Algeria, DZA
18.0956, 1997, Mar Average, Algeria, DZA
22.3766, 1997, Apr Average, Algeria, DZA
27.5145, 1997, May Average, Algeria, DZA
32.3161, 1997, Jun Average, Algeria, DZA
32.7512, 1997, Jul Average, Algeria, DZA
32.2839, 1997, Aug Average, Algeria, DZA
29.7485, 1997, Sep Average, Algeria, DZA
24.6577, 1997, Oct Average, Algeria, DZA
18.7613, 1997, Nov Average, Algeria, DZA
14.0274, 1997, Dec Average, Algeria, DZA
12.9891, 1998, Jan Average, Algeria, DZA
16.1383, 1998, Feb Average, Algeria, DZA
17.9956, 1998, Mar Average, Algeria, DZA
23.5586, 1998, Apr Average, Algeria, DZA
26.9485, 1998, May Average, Algeria, DZA
32.1976, 1998, Jun Average, Algeria, DZA
33.6834, 1998, Jul Average, Algeria, DZA
32.9381, 1998, Aug Average, Algeria, DZA
30.1132, 1998, Sep Average, Algeria, DZA
23.5631, 1998, Oct Average, Algeria, DZA
17.4184, 1998, Nov Average, Algeria, DZA
12.6356, 1998, Dec Average, Algeria, DZA
12.6813, 1999, Jan Average, Algeria, DZA
13.3294, 1999, Feb Average, Algeria, DZA
18.7936, 1999, Mar Average, Algeria, DZA
23.3104, 1999, Apr Average, Algeria, DZA
